id_operacao,id_trecho,data_operacao,duracao_min,area_cortada_m2,bateria_inicial_pct,bateria_final_pct,temp_max_motor_c,umidade_grama_pct,velocidade_media_kmh,status_operacao
1,1,2026-08-03,63,846,88,68,50.1,62,0.89,normal
2,2,2026-08-04,73,754,100,70,65.6,58,0.68,atencao
3,3,2026-08-05,110,1474,95,60,52.9,66,0.88,normal
4,4,2026-08-06,83,705,96,52,73.8,60,0.56,critico
5,5,2026-08-07,115,1116,89,46,69.5,79,0.64,atencao
6,6,2026-08-08,107,740,93,35,82.5,88,0.46,critico
7,7,2026-08-10,116,1377,96,59,58,90,0.78,atencao
8,1,2026-08-11,104,1396,89,58,57.3,55,0.89,atencao
9,3,2026-08-12,107,1456,90,54,54.4,65,0.9,normal
10,8,2026-08-13,98,758,90,44,82.6,63,0.51,critico
11,2,2026-08-14,79,818,89,56,61.4,88,0.68,atencao
12,5,2026-08-17,119,1286,92,48,69.7,67,0.71,atencao
13,4,2026-08-18,81,674,96,54,77.7,56,0.55,critico
14,1,2026-08-19,79,1094,93,67,53.2,60,0.91,normal
15,3,2026-08-20,103,1363,90,57,55.3,69,0.87,normal
16,6,2026-08-20,93,602,94,50,83.3,88,0.43,critico
17,7,2026-08-21,104,1308,100,66,55.7,81,0.83,normal
18,2,2026-08-25,115,1150,95,52,68.4,89,0.66,atencao
19,8,2026-08-26,64,460,100,69,75.3,68,0.47,critico
20,1,2026-08-27,82,1125,92,68,51,57,0.91,normal
21,3,2026-08-28,71,895,96,75,49.6,81,0.83,normal
22,5,2026-08-29,84,793,95,63,63.8,90,0.62,atencao
23,4,2026-09-01,112,831,90,38,78.5,62,0.49,critico
24,7,2026-09-02,90,1196,91,62,53.7,80,0.88,normal
25,1,2026-09-04,103,1368,100,69,54.2,74,0.88,normal
26,2,2026-09-05,60,640,93,68,62.6,69,0.7,atencao
27,3,2026-09-06,114,1481,88,53,56.5,73,0.86,atencao
28,5,2026-09-08,61,613,94,68,62.1,83,0.66,atencao
29,4,2026-09-10,107,774,89,33,80.8,66,0.48,critico
30,7,2026-09-11,95,1193,88,60,54.9,75,0.83,normal
31,1,2026-09-12,112,1491,89,51,52.7,61,0.88,normal
32,2,2026-09-15,110,1093,94,48,66.4,72,0.66,atencao
33,3,2026-09-16,111,1458,98,62,55.6,80,0.87,normal
34,7,2026-09-17,79,1079,95,71,55.6,55,0.9,normal
35,5,2026-09-18,105,1132,93,52,65,63,0.71,atencao
